"UTIL_DEVICE_ID","NIC_MAC_ID","UIQ_DEVICE_STATE","IP_ADDRESS","LATITUDE_DEG","LONGITUDE_DEG","INSERT_TS","'STREETLIGHT'","UTIL_PREMISE_ID","ADDRESS1","INSTANT_POWER","INSTANT_VOLTAGE","ENERGY_DELIVERED","CURRENT_MAGNITUDE"
"0000000012159525",001350050056348B,"Discovered","fdc5:31e4:14e:2d:213:5005:56:348b",-37.7987722771,144.9332972987,19/JUL/18 02:34:50.839716000 AM,"Street Light","A028322","51 ELIZABETH STREET",,,,
"0000000012159378",0013500500564D42,"Discovered","fdc5:31e4:14e:5b:213:5005:56:4d42",-37.7795542912,144.9134335667,19/JUL/18 02:34:50.841112000 AM,"Street Light","A011382","127 EPSOM ROAD",,,,
"0000000012159248",0013500500562681,"Discovered","fdc5:31e4:14e:96:213:5005:56:2681",-37.7875074935,144.9215083334,19/JUL/18 02:34:50.842418000 AM,"Street Light","A030424","530 EPSOM ROAD",,,,
"0000000012159245",0013500500562659,"Discovered","fdc5:31e4:14e:96:213:5005:56:2659",-37.7875074935,144.9215083334,19/JUL/18 02:34:50.845874000 AM,"Street Light","A030424","530 EPSOM ROAD",,,,
"0000000012159538",00135005005634A5,"Discovered","fdc5:31e4:14e:2d:213:5005:56:34a5",-37.7975899412,144.9329904784,19/JUL/18 02:34:50.848820000 AM,"Street Light","A030853","2 FINK STREET",,,,
"0000000012159404",0013500500564DB7,"Discovered","fdc5:31e4:14e:54:213:5005:56:4db7",37.7872119487,144.905025893,19/JUL/18 02:34:50.850425000 AM,"Street Light","A011627","39 FISHER PARADE",,,,
"0000000012159421",0013500500564D4A,"Discovered","fdc5:31e4:14e:54:213:5005:56:4d4a",-37.7875024536,144.9049186817,19/JUL/18 02:34:50.857072000 AM,"Street Light","A011629","41 FISHER PARADE",,,,
"0000000012159407",0013500500564E3C,"Discovered","fdc5:31e4:14e:54:213:5005:56:4e3c",37.7877648493,144.904821518,19/JUL/18 02:34:50.858462000 AM,"Street Light","A108271"," FISHER PARADE",,,,
"0000000012159373",0013500500564DFD,"Discovered","fdc5:31e4:14e:a2:213:5005:56:4dfd",-37.7883215851,144.9045581992,19/JUL/18 02:34:50.859792000 AM,"Street Light","A011632","53 FISHER PARADE",,,,
"0000000012159370",0013500500564D3F,"Discovered","fdc5:31e4:14e:54:213:5005:56:4d3f",-37.7890858414,144.9039905219,19/JUL/18 02:34:50.861409000 AM,"Street Light","A011635","85 FISHER PARADE",,,,
"0000000012159402",0013500500564DB9,"Discovered","fdc5:31e4:14e:40:213:5005:56:4db9",-37.7894157531,144.9033071785,19/JUL/18 02:34:50.863077000 AM,"Street Light","A011660","79 FISHER PARADE",,,,
"0000000012159383",0013500500563449,"Discovered","fdc5:31e4:14e:54:213:5005:56:3449",-37.7893118496,144.9038211037,19/JUL/18 02:34:50.912865000 AM,"Street Light","A014667","75 FISHER PARADE",,,,
"0000000012159409",0013500500561B90,"Discovered","fdc5:31e4:14e:54:213:5005:56:1b90",-37.7892979121,144.9035656346,19/JUL/18 02:34:50.914294000 AM,"Street Light","A137982","79 FISHER PARADE",,,,
"0000000012159558",001350050056304E,"Discovered","fdc5:31e4:14e:54:213:5005:56:304e",-37.7896822911,144.9036417199,19/JUL/18 02:34:50.916009000 AM,"Street Light","A011664","79 FISHER PARADE",,,,
"0000000012159499",00135005005634B4,"Discovered","fdc5:31e4:14e:2d:213:5005:56:34b4",-37.7943054183,144.9272630116,19/JUL/18 02:34:50.917303000 AM,"Street Light","A026821","2 KENSINGTON ROAD",,,,
"0000000012159580",00135005005647F1,"Discovered","fdc5:31e4:14e:2d:213:5005:56:47f1",-37.7945988873,144.9269902279,19/JUL/18 02:34:50.918852000 AM,"Street Light","A026900","21 KENSINGTON ROAD",,,,
"0000000012159596",00135005005642DE,"Discovered","fdc5:31e4:14e:2d:213:5005:56:42de",-37.7949636821,144.9263667593,19/JUL/18 02:34:50.920494000 AM,"Street Light","A026002","33 KENSINGTON ROAD",,,,
"0000000012159515",0013500500562887,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2887",-37.795032014,144.925998069,19/JUL/18 02:34:50.967297000 AM,"Street Light","A026817","42 KENSINGTON ROAD",,,,
"0000000012159390",0013500500563447,"Discovered","fdc5:31e4:14e:2d:213:5005:56:3447",7.7956552847,144.92516066,19/JUL/18 02:34:50.969136000 AM,"Street Light","A026005","63 KENSINGTON ROAD",,,,
"0000000012159233",0013500500562BB6,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2bb6",-37.7959489419,144.9246508226,19/JUL/18 02:34:50.970705000 AM,"Street Light","A026007","82 KENSINGTON ROAD",,,,
